Station,Sr No,Age,Income,Education,Occupation,Electricity,Radio,TV,Internet,Mobile,Landline,Newspaper,Listen to Radio,AIR,Pvt,CRS,Communicate with Radio,Mode of Communication,Frequency of communication,Enough programmes,Radio Content Request, CR Listener,CR Content Consumption,Reason for choice of handset,Most Important Feature & Why,Locali Music,Bollywood Music,Pornography,Bollywood Video,Local Video,Still Images,Full Length Film,Ringtones,other,Source of Content,Recharge,Service Provider,Local Mobile,Anytime Listening,Legacy,Copy of programme,Anytime participation,,,
Kumaon Vani,49,Less than 25,0-5000,E,H,0-4 hours,X,X,X,X,No,No,No,A,B,C,D,A,I,Z,X,X,X,X,X,A,B,X,X,X,X,X,,,,,,,,,,,,,
Kumaon Vani,50,40-60,0-5000,B,A,4-8 hours,X,X,No,No,B,D,Torch,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,1,25-40,0-5000,D,A,B,8-12 hours,X,X,Yes,X,No,Yes,A,E,F,G,I,Keeps you connceted with your family when you go out,Functioning Sim Card,X,X,X,From Lalit Lokvani,X,X,X,,,,,,,,,,,,,,,,,,
Lalit lokvani,2,25-40,5-10000,E,G,4-8 hours,X,X,X,Yes,X,No,Yes,To talk,All features,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,3,Less than 25,0-5000,F,E,4-8 hours,X,X,No,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,4,25-40,0-5000,C,K,4-8 hours,X,No,For entertainment,Battery Life,X,X,X,X,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,5,25-40,10-15000,E,F,4-8 hours,X,X,X,X,No,To talk,Voice calls,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,6,25-40,0-5000,E,G,4-8 hours,X,X,No,To talk,Battery Life,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,7,40-60,0-5000,B,A,B,4-8 hours,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,8,Less than 25,0-5000,F,E,4-8 hours,X,X,X,X,No,To talk and for entertainment,All features,X,X,X,X,X,X,A,C,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Lalit lokvani,9,25-40,0-5000,E,A,B,4-8 hours,X,X,No,To talk,Voice calls,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,10,25-40,5-10000,D,E,4-8 hours,X,X,X,X,X,Yes,X,X,Yes,B,C,B,Yes,A,B,C,D,E,F,G,H,I,Camera,All features,X,X,X,X,X,A,C,X,X,X,X,X,,,
Lalit lokvani,11,Less than 25,0-5000,E,H,4-8 hours,X,X,X,No,To talk and stay conncetd to family,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,12,40-60,0-5000,C,A,B,4-8 hours,X,X,Yes,X,No,Yes,B,C,D,E,F,G,H,I,X,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,13,Less than 25,0-5000,E,A,B,4-8 hours,X,X,X,Yes,X,Yes,A,B,A,Yes,A,B,C,D,E,F,G,H,I,To talk and listen to music,Music player,X,X,X,X,X,X,X,A,C,X,X,X,X,,,,
Lalit lokvani,14,25-40,0-5000,D,A,4-8 hours,X,No,To talk,Voice calls,X,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,15,Less than 25,0-5000,E,A,4-8 hours,X,X,X,X,No,Music,to talk, film and games,Battery life,X,X,X,X,X,A,C,X,X,X,X,X,,,,,,,,,,,,,,,,,,
Lalit lokvani,16,25-40,0-5000,C,A,4-8 hours,X,X,Yes,X,No,No,D,To talk,Battery life,X,X,X,X,X,X,X,A,C,X,X,,,,,,,,,,,,,,,,,,,
Lalit lokvani,17,Less than 25,0-5000,D,A,B,4-8 hours,X,X,No,To talk,Music,X,X,X,X,X,X,X,C,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,18,40-60,0-5000,A,A,B,4-8 hours,X,No,To talk,Voice calls,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,19,Less than 25,0-5000,B,A,B,0-4 hours,X,X,X,Yes,X,Yes,A,A,Yes,A,D,B,E,To talk,X,X,X,X,X,C and Lalit Lokvani,X,X,X,,,,,,,,,,,,,,,
Lalit lokvani,20,25-40,0-5000,C,A,B,4-8 hours,X,X,No,To listen to music,Music player,X,X,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,21,25-40,0-5000,D,A,B,4-8 hours,X,X,No,To talk and watch films,Voice calls,X,X,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,22,25-40,0-5000,C,B,4-8 hours,X,No,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,23,25-40,0-5000,C,I,4-8 hours,X,X,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,24,Less than 25,0-5000,D,A,B,8-12 hours,Yes,X,Yes,C,C,Yes,A,G,H,I,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,25,Less than 25,0-5000,D,B,8-12 hours,X,X,X,Yes,X,Yes,B,D,A,Yes,A,E,I,To talk,To talk,X,X,X,X,X,X,X,X,C,X,X,,,,,,,,,,,,,
Lalit lokvani,26,Less than 25,0-5000,F,H,8-12 hours,X,X,X,X,X,X,Yes,X,X,Yes,B,D,C,Yes,A,B,C,D,E,F,G,H,I,To talk,Internet,X,X,X,X,X,X,X,A,C,X,X,X,X,X
Lalit lokvani,27,Less than 25,0-5000,F,H,8-12 hours,X,X,X,X,Yes,X,Yes,A,B,C,D,A,Yes,A,To talk,Internet,X,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,
Lalit lokvani,28,Less than 25,0-5000,F,H,8-12 hours,X,Yes,X,Yes,B,D,C,Yes,C,H,I,To talk and play games,Games,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,29,40-60,0-5000,A,A,8-12 hours,X,No,To talk,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,30,Less than 25,0-5000,C,G,8-12 hours,X,X,To talk,X,X,X,X,X,X,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,31,40-60,0-5000,C,A,4-8 hours,X,X,X,Yes,X,X,No,Yes,A,E,I,To talk,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
